Game,Genre,Creator/Studio,Year of Release,Singleplayer,Multiplayer,Digital Download GB
Kingdom Hearts 3,RPG,Square Enix,2019,1,0,40
GTA 5,Action Adventure,Rockstar,2013,1,1,101
Red Dead Redemption 2,Action Adventure,Rockstar,2018,1,1,105
Undertale,RPG,Toby Fox,2015,1,0,0.4
Deltarune,RPG,Toby Fox,2018,1,0,0.4
God Of War,Hack & Slash,SIE Santa Monica Studio,2018,1,0,44.46
Devil May Cry,Hack & Slash,Capcom,2001,1,0,12
Final Fantasy XV,RPG,Square Enix,2016,1,0,40.5
Nier: Automata,Hack & Slash,Square Enix,2017,1,0,47
Deus Ex: Mankind Divided,RPG,Square Enix,2016,1,0,38
Devil May Cry 5,Hack & Slash,Capcom,2019,1,0,35
Resident Evil 2 Remake,Horror,Capcom,2019,1,0,23.22
The Division,Looter Shooter/RPG,Ubisoft,2016,0,1,31.96
Assassin's Creed Origins,RPG,Ubisoft,2017,1,0,44.59
Far Cry 5,FPS,Ubisoft,2018,1,1,34.03
Watch Dogs,Action Adventure,Ubisoft,2014,1,1,19.31
Watch Dogs 2,Action Adventure,Ubisoft,2016,1,1,26.61
Infamous Second Son,Action Adventure,Sucker Punch,2014,1,0,21.5
Portal,Puzzle-Platform,Valve,2007,1,0,0.512
Portal 2,Puzzle-Platform,Valve,2011,1,1,8
